PUC;Nombre;Valor;Cuentas_idPUC
1435;Mercancias no fabricadas por la empresa;0;1435
4135;COMERCIO AL POR MAYOR Y AL POR MENOR;0;4135
110505; Caja general;0;1105
110510; Cajas menores;0;1105
110515; Moneda extranjera;0;1105
111005; Moneda nacional;0;1110
111010; Moneda extranjera;0;1110
111505; Moneda nacional;0;1115
111510; Moneda extranjera;0;1115
112005; Bancos;0;1120
112010; Corporaciones de ahorro y vivienda;0;1120
112015; Organismos cooperativos financieros;0;1120
112505; Rotatorios moneda nacional;0;1125
112510; Rotatorios moneda extranjera;0;1125
112515; Especiales moneda nacional;0;1125
112520; Especiales moneda extranjera;0;1125
135515;Retencion en la Fuente;0;1355
135517;Impuesto a las Ventas Retenido;0;1355
135518;Impuesto de Industria y Comercio Retenido;0;1355
135595;Otros Autorretencion CREE;0;1355
152001;HERRAMIENTA DE DOTACION;0;1520
152405;Muebles y Enseres;0;1524
152410;Equipos;0;1524
152495;Otros;0;1524
152805;equipos de procesamiento de datos;0;1528
152810;equipos de telecomunicaciones;0;1528
152815;equipos de radio;0;1528
152820;satelites y antenas;0;1528
152825;lineas telefonicas;0;1528
152895;otros;0;1528
153205;medico;0;1532
153210;odontologico;0;1532
153215;laboratorio;0;1532
153220;�instrumental;0;1532
153295;otros;0;1532
210505; Sobregiros;0;2105
210510; Pagares;0;2105
210515; Cartas de credito;0;2105
210520; Aceptaciones bancarias;0;2105
211005; Sobregiros;0;2110
211010; Pagares;0;2110
211015; Cartas de credito;0;2110
211020; Aceptaciones bancarias;0;2110
211505; Pagares;0;2115
211510; Aceptaciones financieras;0;2115
211515; Cartas de credito;0;2115
211520; Contratos de arrendamiento financiero (leasi;0;2115
212005; Pagares;0;2105
212010; Aceptaciones financieras;0;2110
212020; Contratos de arrendamiento financiero (leasi;0;2120
212505; Sobregiros;0;2125
212510; Pagares;0;2125
212515; Hipotecarias;0;2125
213505; Acciones;0;2135
213510; Cuotas o partes de interes social;0;2135
213515; Bonos;0;2135
213520; Cedulas;0;2135
213525; Certificados;0;2135
213530; Papeles comerciales;0;2135
213535; Titulos;0;2135
213540; Aceptaciones bancarias o financieras;0;2135
213595; Otros;0;2135
214505; Gobierno Nacional;0;2145
214510; Entidades oficiales;0;2145
219505; Particulares;0;2195
219510; Compañias vinculadas;0;2195
219515; Casa matriz;0;2195
219520; Socios o accionistas;0;2195
219525; Fondos y cooperativas;0;2195
219530; Directores;0;2195
219595; Otras;0;2195
233505; Gastos financieros;0;2335
233510; Gastos legales;0;2335
233515; Libros suscripciones periodicos y revistas;0;2335
233520; Comisiones;0;2335
233525; Honorarios;0;2335
233530; Servicios tecnicos;0;2335
233535; Servicios de mantenimiento;0;2335
233540; Arrendamientos;0;2335
233545; Transportes fletes y acarreos;0;2335
233550; Servicios públicos;0;2335
233555; Seguros;0;2335
233560; Gastos de viaje;0;2335
233565; Gastos de representacion y relaciones públic;0;2335
233570; Servicios aduaneros;0;2335
233595; Otros;0;2335
235505; Accionistas;0;2355
235510; Socios;0;2355
236005; Dividendos;0;2360
236010; Participaciones;0;2360
236505; Salarios y pagos laborales;0;2365
236510; Dividendos y/o participaciones;0;2365
236515; Honorarios;0;2365
236520; Comisiones;0;2365
236525; Servicios;0;2365
236530; Arrendamientos;0;2365
236535; Rendimientos financieros;0;2365
236540; Compras;0;2365
236545; Loterias rifas apuestas y similares;0;2365
236550; Por pagos al exterior;0;2365
236555; Por ingresos obtenidos en el exterior;0;2365
236560; Enajenacion propiedades planta y equipo pers;0;2365
236565; Por impuesto de timbre;0;2365
236570; Otras retenciones y patrimonio (CREE);0;2365
236575; Autorretenciones;0;2365
237005; Aportes a entidades promotoras de salud EPS;0;2370
237006; Aportes a administradoras de riesgos profesi;0;2370
237010; Aportes al ICBF SENA y cajas de compensacion;0;2370
237015; Aportes al FIC;0;2370
237025; Embargos judiciales;0;2370
237030; Libranzas;0;2370
237035; Sindicatos;0;2370
237040; Cooperativas;0;2370
237045; Fondos;0;2370
237095; Otros;0;2370
238005; Depositarios;0;2380
238010; Comisionistas de bolsas;0;2380
238015; Sociedad administradora-Fondos de inversion;0;2380
238020; Reintegros por pagar;0;2380
238025; Fondo de perseverancia;0;2380
238030; Fondos de cesantias y/o pensiones;0;2380
238035; Donaciones asignadas por pagar;0;2380
238095; Otros;0;2380
240405; Vigencia fiscal corriente;0;2404
240410; Vigencias fiscales anteriores;0;2404
241205; Vigencia fiscal corriente;0;2412
241210; Vigencias fiscales anteriores;0;2412
242405; Vigencia fiscal corriente;0;2424
242410; Vigencias fiscales anteriores;0;2424
243605; Vigencia fiscal corriente;0;2436
243610; Vigencias fiscales anteriores;0;2436
244405; De hidrocarburos;0;2444
244410; De minas;0;2444
246405; De licores;0;2464
246410; De cervezas;0;2464
246415; De cigarrillos;0;2464
251005; Ley laboral anterior;0;2510
251010; Ley 50 de 1990 y normas posteriores;0;2510
253005; Primas;0;2530
253010; Auxilios;0;2530
253015; Dotacion y suministro a trabajadores;0;2530
253020; Bonificaciones;0;2530
253025; Seguros;0;2530
253095; Otras;0;2530
260505; Intereses;0;2605
260510; Comisiones;0;2605
260515; Honorarios;0;2605
260520; Servicios tecnicos;0;2605
260525; Transportes fletes y acarreos;0;2605
260530; Gastos de viaje;0;2605
260535; Servicios públicos;0;2605
260540; Regalias;0;2605
260545; Garantias;0;2605
260550; Materiales y repuestos;0;2605
260595; Otros;0;2605
261010; Intereses sobre cesantias;0;2610
261015; Vacaciones;0;2610
261020; Prima de servicios;0;2610
261025; Prestaciones extralegales;0;2610
261030; Viáticos;0;2610
261095; Otras;0;2610
261505; De renta y complementarios;0;2615
261510; De industria y comercio;0;2615
261515; Tasa por utilizacion de puertos;0;2615
261520; De vehiculos;0;2615
261525; De hidrocarburos y minas;0;2615
261595; Otros;0;2615
262005; Cálculo actuarial pensiones de jubilacion;0;2620
262010; Pensiones de jubilacion por amortizar (DB);0;2620
262505; Acueducto y alcantarillado;0;2625
262510; Energia electrica;0;2625
262515; Telefonos;0;2625
262595; Otros;0;2625
263005; Terrenos;0;2630
263010; Construcciones y edificaciones;0;2630
263015; Maquinaria y equipo;0;2630
263020; Equipo de oficina;0;2630
263025; Equipo de computacion y comunicacion;0;2630
263030; Equipo medico-cientifico;0;2630
263035; Equipo de hoteles y restaurantes;0;2630
263040; Flota y equipo de transporte;0;2630
263045; Flota y equipo fluvial y/o maritimo;0;2630
263050; Flota y equipo aereo;0;2630
263055; Flota y equipo ferreo;0;2630
263060; Acueductos plantas y redes;0;2630
263065; Armamento de vigilancia;0;2630
263070; Envases y empaques;0;2630
263075; Plantaciones agricolas y forestales;0;2630
263080; Vias de comunicacion;0;2630
263085; Pozos artesianos;0;2630
263095; Otros;0;2630
263505; Multas y sanciones autoridades administrativ;0;2635
263510; Intereses por multas y sanciones;0;2635
263515; Reclamos;0;2635
263520; Laborales;0;2635
263525; Civiles;0;2635
263530; Penales;0;2635
263535; Administrativos;0;2635
263540; Comerciales;0;2635
263595; Otras;0;2635
269505; Para beneficencia;0;2695
269510; Para comunicaciones;0;2695
269515; Para perdida en transporte;0;2695
269520; Para operacion;0;2695
269525; Para proteccion de bienes agotables;0;2695
